# frequency channel 204 = 159.3750 MHz
# all phases in degrees 
# ANT AMP_XX PHASE_XX AMP_YY PHASE_YY AMP_XY PHASE_XY AMP_YX PHASE_YX
0 64.895 -24.207 38.396 -24.207 0.00 0.00 0.00 0.00
1 33.523 21.413 25.575 21.413 0.00 0.00 0.00 0.00
2 27.371 0.000 25.308 0.000 0.00 0.00 0.00 0.00
3 28.703 12.300 29.432 12.300 0.00 0.00 0.00 0.00
4 31.044 -23.028 29.069 -23.028 0.00 0.00 0.00 0.00
5 26.027 11.046 37.572 11.046 0.00 0.00 0.00 0.00
6 25.388 -38.810 23.709 -38.810 0.00 0.00 0.00 0.00
7 37.016 24.877 24.551 24.877 0.00 0.00 0.00 0.00
8 39.928 64.074 31.209 64.074 0.00 0.00 0.00 0.00
9 35.169 38.580 23.465 38.580 0.00 0.00 0.00 0.00
10 35.114 28.522 29.486 28.522 0.00 0.00 0.00 0.00
11 41.743 -72.199 21.905 -72.199 0.00 0.00 0.00 0.00
12 34.731 21.966 31.405 21.966 0.00 0.00 0.00 0.00
13 28.247 -38.673 28.318 -38.673 0.00 0.00 0.00 0.00
14 26.063 5.430 25.441 5.430 0.00 0.00 0.00 0.00
15 41.642 5.795 20.372 5.795 0.00 0.00 0.00 0.00
16 46.358 13.269 28.693 13.269 0.00 0.00 0.00 0.00
17 33.191 20.375 25.776 20.375 0.00 0.00 0.00 0.00
18 90.408 54.297 43.365 54.297 0.00 0.00 0.00 0.00
19 31.645 -25.007 35.255 -25.007 0.00 0.00 0.00 0.00
20 64.827 34.278 25.368 34.278 0.00 0.00 0.00 0.00
21 76.953 40.589 39.901 40.589 0.00 0.00 0.00 0.00
22 32.353 -13.412 29.973 -13.412 0.00 0.00 0.00 0.00
23 27.383 -34.066 23.943 -34.066 0.00 0.00 0.00 0.00
24 33.317 -25.874 27.488 -25.874 0.00 0.00 0.00 0.00
25 31.953 3.874 27.933 3.874 0.00 0.00 0.00 0.00
26 42.725 -12.778 31.335 -12.778 0.00 0.00 0.00 0.00
27 103.779 -2.524 50.401 -2.524 0.00 0.00 0.00 0.00
28 41.272 3.794 26.654 3.794 0.00 0.00 0.00 0.00
29 47.542 53.875 20.168 53.875 0.00 0.00 0.00 0.00
30 42.166 15.634 30.437 15.634 0.00 0.00 0.00 0.00
